 Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
###########,4:17:00,CNR8080410192,Success,CID416746,eBike,Jayanagar,JP Nagar,91,120,null,null,No,null,251,UPI,9,5,4.4,
###########,2:27:00,CNR1648186942,Canceled by Driver,CID713303,Bike,Hennur,Padmanabhanagar,null,null,null,More than permitted people in there,null,null,543,null,0,null,null,
###########,10:57:00,CNR2433490646,Success,CID954071,Mini,Hennur,Chamarajpet,35,115,null,null,No,null,724,Cash,11,4.5,4.8,
###########,0:37:00,CNR7825941026,Success,CID234007,Mini,Marathahalli,Langford Town,196,80,null,null,No,null,316,UPI,27,3.1,4.7,
###########,13:08:00,CNR9148580255,Success,CID164393,Prime SUV,Tumkur Road,Magadi Road,224,60,null,null,No,null,138,UPI,24,5,3,
###########,7:21:00,CNR2946309760,Success,CID984343,Prime Plus,Hosur Road,Hennur,280,55,null,null,No,null,467,Cash,24,4.5,4.2,
###########,10:29:00,CNR3472489570,Driver Not Found,CID621402,Prime SUV,Electronic City,Marathahalli,null,null,null,null,null,null,565,null,0,null,null,
###########,16:56:00,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,null,null,null,More than permitted people in there,null,null,276,null,0,null,null,
###########,1:18:00,CNR7486448495,Success,CID931462,Auto,Ulsoor,Padmanabhanagar,63,65,null,null,No,null,296,UPI,5,4,4.3,
###########,15:32:00,CNR2735636504,Driver Not Found,CID111173,Prime SUV,Cox Town,Chamarajpet,null,null,null,null,null,null,1310,null,0,null,null,
###########,17:17:00,CNR7533317866,Canceled by Customer,CID867762,Mini,Shantinagar,Hulimavu,null,null,AC is Not working,null,null,null,771,null,0,null,null,
###########,2:55:00,CNR5758479139,Success,CID805528,Prime Sedan,RT Nagar,Chickpet,42,25,null,null,No,null,279,Cash,43,4.3,3.4,
###########,16:24:00,CNR8021985469,Success,CID604351,Mini,Hosur Road,Kadugodi,308,145,null,null,No,null,321,Cash,39,3.3,4.7,
###########,19:56:00,CNR3800597072,Success,CID386103,Mini,JP Nagar,Chickpet,189,35,null,null,No,null,457,Cash,1,4.1,3.4,
###########,13:55:00,CNR6179425512,Success,CID607886,Mini,Bannerghatta Road,Basavanagudi,217,45,null,null,No,null,139,Cash,45,4.9,3.8,
###########,19:40:00,CNR7924302885,Success,CID517661,Auto,Magadi Road,Nagarbhavi,168,140,null,null,Yes,Customer Demand,685,UPI,7,4.1,4.9,
###########,21:19:00,CNR7181374756,Canceled by Driver,CID700952,Auto,Devanahalli,Kammanahalli,null,null,null,More than permitted people in there,null,null,150,null,0,null,null,
###########,13:15:00,CNR2830899440,Success,CID808607,Mini,Kadugodi,Frazer Town,133,90,null,null,No,null,196,UPI,21,4.3,3.4,
###########,11:37:00,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,null,null,null,Personal & Car related issue,null,null,424,null,0,null,null,
###########,21:40:00,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,Chickpet,Shantinagar,null,null,null,More than permitted people in there,null,null,827,null,0,null,null,
###########,4:15:00,CNR8854206454,Success,CID932765,eBike,Langford Town,Kadugodi,301,115,null,null,No,null,770,Cash,27,3.3,4.3,
###########,7:30:00,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,null,null,null,null,null,null,325,null,0,null,null,
###########,14:43:00,CNR6215530366,Success,CID713821,eBike,Devanahalli,Jayanagar,161,25,null,null,No,null,986,Cash,18,4.6,4.8,
###########,14:56:00,CNR4314026109,Success,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,266,115,null,null,No,null,2208,Cash,40,4,4.5,
###########,19:55:00,CNR9027465661,Success,CID737388,Prime Sedan,BTM Layout,Majestic,168,30,null,null,No,null,1695,UPI,20,4.5,4.7,
###########,10:58:00,CNR5003494701,Canceled by Driver,CID761134,Mini,Sarjapur Road,Majestic,null,null,null,Customer related issue,null,null,305,null,0,null,null,
###########,9:18:00,CNR2064658821,Success,CID954441,Bike,Peenya,Devanahalli,63,105,null,null,No,null,2271,Cash,37,3.4,4.2,
###########,1:31:00,CNR2149029235,Success,CID596869,Auto,Chickpet,Hennur,154,135,null,null,No,null,240,UPI,4,4,4.9,
###########,1:20:00,CNR9704400677,Success,CID974657,Mini,Langford Town,Vijayanagar,287,95,null,null,No,null,482,Cash,37,4.4,3.9,
###########,11:25:00,CNR8836460204,Success,CID716037,eBike,Bellandur,Shantinagar,252,45,null,null,No,null,536,UPI,17,3.9,4.4,
###########,10:44:00,CNR3697318609,Success,CID915228,Bike,Sarjapur Road,Chickpet,287,100,null,null,No,null,188,UPI,37,4.9,4.1,
###########,18:17:00,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,Frazer Town,Whitefield,null,null,null,Customer related issue,null,null,202,null,0,null,null,
###########,6:54:00,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,Richmond Town,Jayanagar,null,null,null,Customer related issue,null,null,1609,null,0,null,null,
###########,0:21:00,CNR8346388703,Canceled by Driver,CID680143,Mini,Magadi Road,BTM Layout,null,null,null,Personal & Car related issue,null,null,1821,null,0,null,null,
###########,9:39:00,CNR4445082348,Success,CID336831,Mini,Yelahanka,BTM Layout,42,40,null,null,No,null,415,UPI,22,3.6,3.1,
###########,6:06:00,CNR5528764313,Success,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,308,145,null,null,No,null,2125,UPI,6,3.8,4.6,
###########,15:04:00,CNR3967141568,Canceled by Driver,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,null,null,null,Customer related issue,null,null,758,null,0,null,null,
###########,9:55:00,CNR7054352438,Driver Not Found,CID270321,Mini,Hennur,Cox Town,null,null,null,null,null,null,653,null,0,null,null,
###########,12:51:00,CNR1640228587,Success,CID190281,Prime Sedan,Kengeri,Mysore Road,168,135,null,null,Yes,Other Issue,704,Cash,42,4.7,4.8,
###########,4:48:00,CNR6684033796,Success,CID352268,Auto,Indiranagar,Whitefield,84,105,null,null,No,null,385,Cash,19,4.1,3.7,
###########,5:03:00,CNR4158584922,Success,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,35,45,null,null,No,null,934,UPI,12,3.3,5,
###########,4:01:00,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,Banashankari,Chickpet,null,null,null,Customer related issue,null,null,615,null,0,null,null,
###########,8:22:00,CNR5661490576,Success,CID546076,Bike,Magadi Road,Electronic City,56,30,null,null,No,null,2202,Cash,44,4.7,3.4,
###########,12:36:00,CNR2304446757,Success,CID432144,eBike,Rajarajeshwari Nagar,MG Road,252,145,null,null,No,null,205,Cash,43,4.1,3.1,
###########,7:21:00,CNR3780555542,Canceled by Customer,CID803813,Mini,Tumkur Road,Chamarajpet,null,null,Driver asked to cancel,null,null,null,513,null,0,null,null,
###########,8:21:00,CNR1559782157,Success,CID906966,Auto,Ulsoor,Bellandur,182,50,null,null,No,null,247,Cash,8,3.1,3.3,
###########,2:55:00,CNR7623690602,Success,CID526261,Bike,Cox Town,Malleshwaram,259,75,null,null,Yes,Other Issue,558,UPI,41,3.2,3.2,
###########,7:56:00,CNR2098165198,Success,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,217,55,null,null,No,null,291,UPI,5,3.8,3.3,
###########,4:32:00,CNR5502012579,Success,CID748475,Mini,Vijayanagar,Kengeri,56,110,null,null,No,null,925,Cash,22,3,4,
###########,21:58:00,CNR4698965967,Success,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,280,30,null,null,No,null,121,Cash,44,3.8,4.5,
###########,3:13:00,CNR8566688320,Driver Not Found,CID175878,Bike,Chickpet,Shivajinagar,null,null,null,null,null,null,404,null,0,null,null,
###########,12:44:00,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Kammanahalli,Magadi Road,null,null,Change of plans,null,null,null,223,null,0,null,null,
###########,8:31:00,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,null,null,null,null,null,null,2989,null,0,null,null,
###########,11:01:00,CNR3404012927,Success,CID344186,Mini,Chickpet,Chamarajpet,63,130,null,null,No,null,728,Cash,14,4.3,5,
###########,10:50:00,CNR9282027845,Success,CID767941,Bike,Yeshwanthpur,KR Puram,210,85,null,null,No,null,2416,UPI,49,3.1,3.8,
###########,10:02:00,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Shivajinagar,HSR Layout,null,null,Driver is not moving towards pickup location,null,null,null,371,null,0,null,null,
###########,18:36:00,CNR4241139229,Success,CID133723,Prime Plus,Kammanahalli,Shivajinagar,203,25,null,null,No,null,258,Cash,32,4.7,4.1,
###########,23:48:00,CNR8306274838,Driver Not Found,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,null,null,null,null,null,null,170,null,0,null,null,
###########,15:25:00,CNR1903850514,Canceled by Customer,CID126419,eBike,Mysore Road,Vijayanagar,null,null,Driver asked to cancel,null,null,null,151,null,0,null,null,
###########,21:02:00,CNR1852948877,Canceled by Driver,CID953990,Prime Sedan,Yelahanka,Majestic,null,null,null,Customer related issue,null,null,425,null,0,null,null,
###########,3:31:00,CNR5744401218,Success,CID507511,Bike,Yelahanka,Varthur,91,25,null,null,No,null,220,UPI,2,3.4,3.1,
###########,10:15:00,CNR7221640450,Success,CID195611,Prime Sedan,RT Nagar,Whitefield,301,145,null,null,No,null,472,UPI,16,3.3,4.5,
###########,22:27:00,CNR8395803905,Canceled by Driver,CID925776,eBike,Bannerghatta Road,RT Nagar,null,null,null,Customer related issue,null,null,616,null,0,null,null,
###########,9:20:00,CNR3750351374,Success,CID524066,Prime SUV,Mysore Road,Peenya,42,130,null,null,No,null,473,Cash,49,4,4.2,
###########,18:13:00,CNR2869164142,Success,CID884352,Prime SUV,BTM Layout,Malleshwaram,126,115,null,null,No,null,259,Cash,11,4.8,4.5,
###########,11:58:00,CNR8303547069,Success,CID471469,Mini,Langford Town,Richmond Town,77,35,null,null,No,null,310,Credit Card,2,3.3,3.1,
###########,21:32:00,CNR7368110421,Canceled by Driver,CID372218,Mini,Peenya,Sarjapur Road,null,null,null,Personal & Car related issue,null,null,200,null,0,null,null,
###########,10:14:00,CNR7500310853,Success,CID377809,Prime Sedan,Jayanagar,Richmond Town,189,85,null,null,No,null,471,UPI,39,3.5,3.7,
###########,21:23:00,CNR8925319975,Success,CID388701,Prime Sedan,Yelahanka,Rajajinagar,287,125,null,null,No,null,442,UPI,37,4.1,4.5,
###########,19:56:00,CNR9261561390,Success,CID853883,Auto,Koramangala,Majestic,175,65,null,null,No,null,228,Cash,10,3.7,4.3,
###########,9:25:00,CNR3165383119,Canceled by Driver,CID765484,Prime SUV,Devanahalli,KR Puram,null,null,null,Customer was coughing/sick,null,null,232,null,0,null,null,
###########,23:15:00,CNR7006798592,Driver Not Found,CID786658,Prime Sedan,Ulsoor,RT Nagar,null,null,null,null,null,null,344,null,0,null,null,
###########,7:52:00,CNR5613886410,Success,CID107686,Auto,Marathahalli,KR Puram,266,65,null,null,No,null,2604,UPI,10,3.8,4.1,
###########,4:52:00,CNR5841521780,Success,CID768996,Prime SUV,Ramamurthy Nagar,Varthur,210,120,null,null,No,null,274,Cash,37,3.1,3.6,
###########,13:07:00,CNR1281921513,Canceled by Customer,CID163474,Mini,Malleshwaram,Magadi Road,null,null,Driver is not moving towards pickup location,null,null,null,895,null,0,null,null,
###########,16:05:00,CNR2959980296,Success,CID509309,Bike,Hosur Road,Richmond Town,91,60,null,null,No,null,279,Cash,34,4.5,3.2,
###########,23:32:00,CNR6765124275,Success,CID630281,Prime Sedan,Chamarajpet,Banashankari,294,45,null,null,No,null,1946,Cash,16,3,3.5,
###########,4:23:00,CNR9762994658,Success,CID443169,Prime Plus,RT Nagar,Sahakar Nagar,231,65,null,null,No,null,1024,UPI,4,4.8,4.1,
###########,10:25:00,CNR8072285783,Canceled by Customer,CID652081,Prime Plus,Frazer Town,Sarjapur Road,null,null,Driver asked to cancel,null,null,null,294,null,0,null,null,
###########,19:44:00,CNR8116331340,Success,CID777382,Auto,RT Nagar,Sarjapur Road,266,55,null,null,No,null,252,UPI,8,4,4.8,
###########,10:29:00,CNR3491700602,Success,CID247449,Mini,Richmond Town,Langford Town,84,145,null,null,No,null,2542,UPI,2,3.5,4.1,
###########,15:04:00,CNR2166456022,Success,CID930312,Mini,Yeshwanthpur,Indiranagar,266,75,null,null,No,null,1821,Cash,34,4.4,4.7,
###########,8:33:00,CNR2177201692,Success,CID614111,Mini,Richmond Town,Yeshwanthpur,105,145,null,null,No,null,200,Cash,31,4.9,4,
###########,10:22:00,CNR5755482161,Canceled by Driver,CID126097,Prime SUV,Koramangala,Indiranagar,null,null,null,Customer was coughing/sick,null,null,152,null,0,null,null,
###########,11:15:00,CNR4484571820,Success,CID645793,Auto,HSR Layout,Hosur Road,133,145,null,null,No,null,2388,Cash,4,4.4,3.6,
###########,6:34:00,CNR7377461832,Success,CID719814,eBike,Ulsoor,Padmanabhanagar,77,100,null,null,No,null,783,Cash,37,3.5,3.5,
###########,20:56:00,CNR2363111317,Driver Not Found,CID665310,Prime Plus,Electronic City,KR Puram,null,null,null,null,null,null,208,null,0,null,null,
###########,7:28:00,CNR2976802436,Success,CID592039,Prime SUV,Tumkur Road,Cox Town,168,50,null,null,No,null,1181,UPI,10,3.4,4.9,
###########,3:29:00,CNR8474873609,Canceled by Customer,CID968838,Prime Plus,HSR Layout,KR Puram,null,null,Change of plans,null,null,null,843,null,0,null,null,
###########,13:53:00,CNR1945536909,Success,CID796614,Auto,Sahakar Nagar,JP Nagar,224,80,null,null,No,null,441,Cash,7,3,3.1,
###########,2:02:00,CNR8097291227,Success,CID734844,Prime Plus,Mysore Road,Rajajinagar,238,25,null,null,No,null,332,UPI,38,3.8,3.4,
###########,16:22:00,CNR1433815646,Success,CID307267,Prime SUV,Banashankari,Marathahalli,42,65,null,null,No,null,832,Cash,11,3.4,4.1,
###########,6:58:00,CNR5876056264,Success,CID568720,Prime SUV,Kadugodi,Shantinagar,231,30,null,null,No,null,1361,UPI,47,4,3.9,
###########,21:47:00,CNR2943788515,Canceled by Driver,CID627311,Bike,Shantinagar,Ramamurthy Nagar,null,null,null,More than permitted people in there,null,null,415,null,0,null,null,
###########,7:06:00,CNR5599931622,Success,CID822709,Prime SUV,Peenya,Frazer Town,42,55,null,null,No,null,747,Cash,28,3.8,3,
###########,1:54:00,CNR6776927575,Success,CID817693,Bike,Hosur Road,Nagarbhavi,245,55,null,null,No,null,129,Cash,5,4.4,4.2,
###########,18:38:00,CNR4880622143,Success,CID602848,eBike,Rajajinagar,Kammanahalli,98,100,null,null,No,null,296,UPI,34,3.3,4.2,
###########,3:13:00,CNR2841702950,Success,CID268274,Auto,Sarjapur Road,Sarjapur Road,231,105,null,null,No,null,337,UPI,18,4.5,4.2,
###########,14:52:00,CNR2747846957,Success,CID700413,Prime Sedan,Majestic,Malleshwaram,308,140,null,null,No,null,896,UPI,45,4,4.1,
###########,9:33:00,CNR4795488474,Success,CID943263,Prime Sedan,Peenya,Frazer Town,189,60,null,null,No,null,151,Credit Card,11,4,4.8,
###########,10:00:00,CNR6662649739,Success,CID295666,Auto,Ramamurthy Nagar,Banashankari,189,35,null,null,No,null,940,Debit Card,7,3.2,3.5,
###########,9:28:00,CNR2524442918,Success,CID471692,Prime Plus,Hulimavu,RT Nagar,98,140,null,null,No,null,729,Credit Card,13,4.5,5,
###########,10:12:00,CNR4977956798,Success,CID782900,Auto,Banashankari,Sarjapur Road,189,45,null,null,No,null,128,Cash,1,4.6,4.8,
###########,15:07:00,CNR2002215420,Success,CID109502,Prime SUV,Whitefield,BTM Layout,77,75,null,null,No,null,274,Cash,42,4,3.4,
###########,4:23:00,CNR9590311980,Success,CID957268,Auto,Bannerghatta Road,Tumkur Road,105,25,null,null,Yes,Customer Demand,352,Cash,8,5,3.8,
###########,5:14:00,CNR3124565731,Success,CID578023,Auto,Basavanagudi,Chickpet,189,55,null,null,No,null,238,UPI,6,4.5,3,
###########,11:34:00,CNR6090870401,Success,CID301446,Prime SUV,Ramamurthy Nagar,KR Puram,280,30,null,null,No,null,477,Cash,19,4.1,4.3,
###########,15:38:00,CNR9405757355,Success,CID176162,Auto,Richmond Town,Banashankari,196,145,null,null,No,null,186,UPI,15,4.7,4.6,
###########,11:55:00,CNR7078608984,Driver Not Found,CID926832,eBike,Shantinagar,Hebbal,null,null,null,null,null,null,117,null,0,null,null,
###########,18:52:00,CNR4166475803,Success,CID615978,Prime SUV,Banashankari,Yelahanka,168,90,null,null,No,null,193,UPI,13,3.8,3.2,
###########,12:51:00,CNR3641224150,Success,CID431557,Mini,Majestic,Magadi Road,98,60,null,null,No,null,395,UPI,41,4.3,4.8,
###########,16:42:00,CNR7307808711,Success,CID928859,Prime SUV,MG Road,BTM Layout,147,75,null,null,No,null,857,Cash,45,4.7,4,
###########,22:49:00,CNR9207534980,Canceled by Driver,CID926602,Prime Plus,Whitefield,Kammanahalli,null,null,null,Customer related issue,null,null,819,null,0,null,null,
###########,10:16:00,CNR8478607960,Success,CID374876,Prime Sedan,Shivajinagar,BTM Layout,35,45,null,null,No,null,484,UPI,16,4.1,4.5,
###########,8:50:00,CNR6867991693,Success,CID139968,Prime Plus,Bellandur,Indiranagar,84,70,null,null,No,null,648,Cash,3,4.9,4.8,
###########,11:55:00,CNR4134417165,Success,CID298474,Bike,Ulsoor,Whitefield,196,130,null,null,No,null,153,Cash,20,4.1,3.9,
###########,1:50:00,CNR6026842144,Success,CID533256,Prime SUV,Bannerghatta Road,Padmanabhanagar,70,140,null,null,No,null,232,Credit Card,28,4.3,4.7,
###########,8:41:00,CNR1373400641,Canceled by Driver,CID137733,Mini,Shivajinagar,Kadugodi,null,null,null,More than permitted people in there,null,null,478,null,0,null,null,
###########,5:01:00,CNR7756361076,Canceled by Driver,CID843494,Auto,Koramangala,Hebbal,null,null,null,Customer was coughing/sick,null,null,850,null,0,null,null,
###########,0:38:00,CNR1058833099,Success,CID705304,Bike,Frazer Town,Jayanagar,294,75,null,null,No,null,673,Cash,25,4.1,3.6,
###########,12:46:00,CNR8150133799,Driver Not Found,CID406881,eBike,Chickpet,HSR Layout,null,null,null,null,null,null,315,null,0,null,null,
###########,0:11:00,CNR3136784868,Success,CID703583,Prime SUV,Shivajinagar,Indiranagar,63,125,null,null,No,null,1033,Cash,2,4.1,3.6,
###########,3:54:00,CNR2919641369,Canceled by Customer,CID137586,Prime SUV,Tumkur Road,Langford Town,null,null,Driver is not moving towards pickup location,null,null,null,825,null,0,null,null,
###########,23:49:00,CNR4311649934,Canceled by Customer,CID379072,Prime SUV,Sahakar Nagar,Hosur Road,null,null,Wrong Address,null,null,null,213,null,0,null,null,
###########,13:53:00,CNR8258871692,Driver Not Found,CID804974,Auto,Peenya,Cox Town,null,null,null,null,null,null,125,null,0,null,null,
